i,train,val
0,7200479600000.0,7200479600000.0
1000,246680550000.0,246315450000.0
2000,81097860000.0,81026810000.0
3000,37838365000.0,37812716000.0
4000,20234965000.0,20223136000.0
5000,11568721000.0,11562498000.0
6000,6857981400.0,6854471700.0
7000,4150854700.0,4148801500.0
8000,2544420400.0,2543185700.0
9000,1570501100.0,1569741700.0
10000,973870900.0,973408400.0
11000,606190340.0,605902700.0
12000,378135230.0,377956830.0
13000,236287100.0,236176590.0
14000,147872510.0,147803170.0
15000,92650560.0,92607400.0
16000,58123336.0,58096380.0
17000,36506716.0,36489770.0
18000,22958006.0,22947294.0
19000,14454518.0,14447841.0
20000,9113089.0,9108862.0
21000,5753453.0,5750788.5
22000,3637817.8,3636120.2
23000,2303779.5,2302711.0
24000,1461458.5,1460771.5
25000,928793.0,928352.44
26000,591465.5,591177.7
27000,377458.72,377267.78
28000,241449.58,241319.92
29000,154848.86,154758.03
30000,99588.83,99523.28
31000,64244.117,64194.902
32000,41581.027,41541.836
33000,27011.383,26977.883
34000,17623.4,17594.08
35000,11552.436,11525.875
36000,7613.1006,7588.2974
37000,5047.2183,5023.4893
38000,3368.8755,3345.8132
39000,2266.4502,2243.8203
40000,1538.353,1516.1567
41000,1055.2491,1033.2489
42000,733.1088,711.2461
43000,516.95404,495.18216
44000,371.21933,349.57294
45000,273.79974,252.2292
46000,208.4383,186.82184
47000,163.47556,141.87534
48000,133.75848,112.16221
49000,115.23069,93.64241
50000,104.99602,83.42848
51000,100.62216,79.041046
52000,99.5321,77.9348
53000,99.20696,77.59231
54000,99.171425,77.54047
